"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"73"	3.78441474802093e-135	1.01468581332026	0.51	0.14	5.85411117371357e-131	"1"	"S100a4"
"74"	4.25195318900999e-133	0.746980471622586	0.997	0.976	6.57734638807956e-129	"1"	"Fth1"
"75"	3.06636042170153e-131	0.982369930696264	0.859	0.529	4.7433529363301e-127	"1"	"Actg1"
"76"	1.96558861560274e-124	1.06517823631791	0.646	0.272	3.04056902947588e-120	"1"	"Lsp1"
"77"	4.56244326100611e-124	0.878247666720475	0.761	0.345	7.05764348045036e-120	"1"	"Ifitm3"
"78"	1.45799966400289e-123	1.1146488962573	0.423	0.109	2.25537968024607e-119	"1"	"Arl5c"
"79"	2.28434172575182e-123	1.00196828974195	0.76	0.384	3.53364821556548e-119	"1"	"Ifitm2"
"80"	1.38804246524505e-118	0.91459210608544	0.52	0.166	2.14716288948757e-114	"1"	"Cfp"
"81"	6.03677052594302e-117	0.868486319703195	0.646	0.258	9.33828032658126e-113	"1"	"Plek"
"82"	1.04155460035809e-116	1.08236679521041	0.399	0.099	1.61118081129393e-112	"1"	"Slc7a11"
"83"	3.1560169460869e-116	1.17518679315492	0.38	0.095	4.88204261390182e-112	"1"	"Bcl2a1a"
"84"	5.95669896727353e-111	1.08371455211842	0.585	0.229	9.21441763247542e-107	"1"	"Marcksl1"
"85"	2.05948214837169e-109	1.23144641022531	0.482	0.155	3.18581293531617e-105	"1"	"Il1r2"
"86"	7.99252164749683e-109	0.745433132857584	0.851	0.496	1.23636317365128e-104	"1"	"Ctss"
"87"	7.81532944091732e-105	0.806247305883154	0.684	0.291	1.2089533112155e-100	"1"	"Cxcl16"
"88"	4.37747438413208e-104	1.05783843873854	0.37	0.097	6.77151512481391e-100	"1"	"Mgl2"
"89"	4.52655177945293e-97	0.766228683296775	0.695	0.31	7.00212294763574e-93	"1"	"H2-DMb1"
"90"	3.51013970626043e-87	0.912682530920859	0.478	0.171	5.42983511161426e-83	"1"	"Wfdc17"
"91"	1.1580981632958e-86	0.935152571813265	0.556	0.236	1.79146204880227e-82	"1"	"Bcl2a1b"
"92"	5.53009563188949e-83	0.785562690127614	0.429	0.147	8.55450493296986e-79	"1"	"Map4k4"
"93"	4.99795311143145e-78	0.783742472985459	0.453	0.17	7.7313336680733e-74	"1"	"Rnf149"
"94"	3.48120041775924e-72	0.884068893516867	0.339	0.108	5.38506892623177e-68	"1"	"Thbs1"
